iter	Passed	Remaining
410	4177	904
411	4187	894
412	4196	884
413	4206	873
414	4214	863
415	4225	853
416	4235	842
417	4245	832
418	4255	822
419	4264	812
420	4274	802
421	4284	791
422	4293	781
423	4302	771
424	4311	760
425	4320	750
426	4331	740
427	4341	730
428	4350	720
429	4359	709
430	4369	699
431	4378	689
432	4387	678
433	4397	668
434	4406	658
435	4414	648
436	4423	637
437	4432	627
438	4444	617
439	4454	607
440	4463	597
441	4474	587
442	4484	576
443	4493	566
444	4502	556
445	4511	546
446	4520	536
447	4528	525
448	4537	515
449	4547	505
450	4555	494
451	4566	484
452	4574	474
453	4583	464
454	4592	454
455	4601	443
456	4610	433
457	4619	423
458	4628	413
459	4637	403
460	4647	393
461	4656	383
462	4665	372
463	4675	362
464	4684	352
465	4694	342
466	4703	332
467	4712	322
468	4721	312
469	4730	301
470	4740	291
471	4750	281
472	4759	271
473	4768	261
474	4776	251
475	4785	241
476	4795	231
477	4803	221
478	4812	211
479	4821	200
480	4830	190
481	4839	180
482	4848	170
483	4857	160
484	4866	150
485	4875	140
486	4884	130
487	4893	120
488	4901	110
489	4911	100
490	4921	90
491	4937	80
492	4952	70
493	4968	60
494	4983	50
495	4997	40
496	5012	30
497	5026	20
498	5040	10
499	5054	0
